,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__max_depth,param_model__n_estimators,param_model__reg_alpha,params,split0_test_f1,split1_test_f1,split2_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy
0,96.94458659489949,2.216034721862245,0.27201390266418457,0.02653371771855539,0.3,10,40,0,"{'model__learning_rate': 0.3, 'model__max_depth': 10, 'model__n_estimators': 40, 'model__reg_alpha': 0}",0.9408316171175154,0.9413968085241006,0.9398703731834523,0.9406995996083561,0.0006301178087407851,9,0.9414625,0.9421125,0.940625,0.9414000000000001,0.0006088753293299476,9
1,97.09983499844869,0.9380552509562778,0.2509133815765381,0.005819689804892168,0.3,10,40,1,"{'model__learning_rate': 0.3, 'model__max_depth': 10, 'model__n_estimators': 40, 'model__reg_alpha': 1}",0.9405565243763743,0.9422534677001277,0.9399711618729605,0.9409270513164875,0.0009678834751465577,8,0.9412,0.9429125,0.940675,0.9415958333333334,0.0009553758713488421,8
2,96.94583010673523,2.181538536170555,0.2522422472635905,0.006148728274566125,0.3,10,40,4,"{'model__learning_rate': 0.3, 'model__max_depth': 10, 'model__n_estimators': 40, 'model__reg_alpha': 4}",0.9416894146193509,0.9433146152678707,0.9407748330973094,0.9419262876615102,0.0010503031299111672,5,0.942325,0.943975,0.94145,0.9425833333333333,0.0010468869195009692,5
3,119.321381966273,0.9045365425449791,0.36590250333150226,0.11193223427359632,0.3,10,50,0,"{'model__learning_rate': 0.3, 'model__max_depth': 10, 'model__n_estimators': 50, 'model__reg_alpha': 0}",0.9417012028707167,0.944309559939302,0.9414876786188916,0.9424994804763034,0.0012828844838374317,3,0.942325,0.94495,0.9422125,0.9431625,0.0012647875315640808,3
4,120.87728706995647,2.1977709720564738,0.302437702814738,0.007755079762547801,0.3,10,50,1,"{'model__learning_rate': 0.3, 'model__max_depth': 10, 'model__n_estimators': 50, 'model__reg_alpha': 1}",0.9425115949904586,0.944220438602035,0.9421537761256306,0.9429619365727081,0.0009018052647779061,2,0.9431375,0.9448375,0.9428125,0.9435958333333333,0.0008879595836648217,2
5,121.97723078727722,2.2126836717182967,0.29227224985758465,0.005609559190240134,0.3,10,50,4,"{'model__learning_rate': 0.3, 'model__max_depth': 10, 'model__n_estimators': 50, 'model__reg_alpha': 4}",0.9431387414708112,0.9446151123247495,0.9423608918082486,0.9433715818679365,0.0009348934064564047,1,0.94375,0.9452375,0.9429625,0.9439833333333333,0.0009433060950130809,1
6,174.29503043492636,1.9344926168623666,0.4464651743570964,0.013034381454620466,0.3,20,40,0,"{'model__learning_rate': 0.3, 'model__max_depth': 20, 'model__n_estimators': 40, 'model__reg_alpha': 0}",0.9396268116402252,0.9395309840189028,0.9378113245908306,0.9389897067499863,0.0008341599039409752,12,0.9405875,0.9405,0.938825,0.9399708333333333,0.0008110135976391206,12
7,180.0781845251719,0.920598047341318,0.6725914478302002,0.18192226824518343,0.3,20,40,1,"{'model__learning_rate': 0.3, 'model__max_depth': 20, 'model__n_estimators': 40, 'model__reg_alpha': 1}",0.9397308961665396,0.9404370405170334,0.9391911624658752,0.9397863663831494,0.0005101377188482018,11,0.94065,0.9413625,0.9401375,0.9407166666666668,0.000502321001839363,11
8,187.18962717056274,1.7545132268206822,0.5575675964355469,0.1913613375675961,0.3,20,40,4,"{'model__learning_rate': 0.3, 'model__max_depth': 20, 'model__n_estimators': 40, 'model__reg_alpha': 4}",0.9404882495948136,0.9419002917670937,0.9410109867829127,0.9411331760482734,0.0005829027571853272,7,0.94125,0.94275,0.9418125,0.9419375,0.0006187184335382039,7
9,209.4497585296631,1.2582315018248522,0.5072869459788004,0.009384864457782586,0.3,20,50,0,"{'model__learning_rate': 0.3, 'model__max_depth': 20, 'model__n_estimators': 50, 'model__reg_alpha': 0}",0.940770178133848,0.9410569621860476,0.9390776575752959,0.9403015992983971,0.0008733408190430027,10,0.9416875,0.941975,0.940025,0.9412291666666667,0.0008595258705950794,10
10,224.03350337346396,3.5204390891371458,0.6346073150634766,0.17549589831776602,0.3,20,50,1,"{'model__learning_rate': 0.3, 'model__max_depth': 20, 'model__n_estimators': 50, 'model__reg_alpha': 1}",0.9410197531177447,0.9421588284561306,0.9408181910465943,0.9413322575401565,0.0005902380460358523,6,0.9418875,0.943025,0.9417,0.9422041666666666,0.0005854426150832936,6
11,231.2842871348063,1.7829806034776707,0.5180040200551351,0.013983990435172077,0.3,20,50,4,"{'model__learning_rate': 0.3, 'model__max_depth': 20, 'model__n_estimators': 50, 'model__reg_alpha': 4}",0.9418644389595595,0.943332107578966,0.9418787387204705,0.9423584284196654,0.0006885198858096013,4,0.9425875,0.9441375,0.942675,0.9431333333333334,0.000710951045353225,4
12,96.21346195538838,1.3595455191513401,0.3331466515858968,0.09383999900738524,0.01,10,40,0,"{'model__learning_rate': 0.01, 'model__max_depth': 10, 'model__n_estimators': 40, 'model__reg_alpha': 0}",0.9043810402727576,0.9032092162106563,0.9037000923740123,0.903763449619142,0.00048048830267600204,22,0.90675,0.9059,0.906175,0.9062749999999999,0.00035414215601456254,22
